id;budget_amount;start_date;end_date;created_at;updated_at;status
1;24826.17;2025-03-19T03:52:15;2025-03-19T18:11:44;2025-03-19T20:23:29;2025-03-19T21:01:50;ENDED
2;12880;2025-03-20T02:37:42;2025-03-19T11:59:33;2025-03-19T16:06:32;2025-03-19T12:34:36;ACTIVE
3;25176.41;2025-03-19T08:01:51;2025-03-19T07:48:13;2025-03-20T00:10:43;2025-03-19T10:06:45;ACTIVE
4;21312.53;2025-03-19T23:51:28;2025-03-19T21:44:18;2025-03-19T07:06:54;2025-03-19T22:40:41;ENDED
5;28848.68;2025-03-19T13:05:58;2025-03-19T04:20:15;2025-03-19T21:12:30;2025-03-19T13:59:19;ACTIVE
6;8570.62;2025-03-19T07:46:16;2025-03-19T21:33:30;2025-03-19T10:31:41;2025-03-19T12:29:10;ACTIVE
7;11161.44;2025-03-19T04:56:23;2025-03-19T17:29:42;2025-03-19T07:06:04;2025-03-19T22:08:11;ENDED
8;21389.1;2025-03-20T00:47:26;2025-03-19T14:47:16;2025-03-19T14:08:28;2025-03-19T03:38:53;ACTIVE
9;24251.49;2025-03-19T08:56:01;2025-03-19T23:13:16;2025-03-19T22:16:36;2025-03-19T20:04:53;ACTIVE
10;7435.94;2025-03-19T23:57:43;2025-03-19T15:20:52;2025-03-20T00:56:11;2025-03-19T10:06:39;ACTIVE
