id;period_type;period_value;total_assets;total_income;total_expense;total_profit;profit_percentage;created_at;updated_at;user_id
1;YEAR;confusion;11823.41;16515.16;10614.77;27786.19;25748.93;2025-03-19T20:02:04;2025-03-20T02:29:54;1
2;WEEK;um ick;19247.65;655.08;11332.3;12552.45;15416.56;2025-03-20T05:38:31;2025-03-20T00:20:17;2
3;MONTH;equally;821.77;21317.2;1197.53;18866.47;841.31;2025-03-19T08:45:32;2025-03-20T02:48:22;2
4;MONTH;kiss following;14968.21;17765.83;1131.19;21565.31;7390.4;2025-03-19T22:08:05;2025-03-19T07:49:33;1
5;WEEK;reckon than in;17920.51;20112.59;23369.16;12128.26;20053.66;2025-03-19T23:45:26;2025-03-19T07:29:03;2
6;YEAR;goodwill impanel;28624.52;15947.24;30975.62;25238.14;1681.79;2025-03-19T08:52:25;2025-03-19T15:57:15;2
7;WEEK;misjudge psst;4750.14;28522.51;21239.6;10521.75;498.71;2025-03-19T07:31:46;2025-03-20T02:57:06;2
8;WEEK;blah suffice;23494.67;1875.87;8159.17;12131.13;7648.64;2025-03-19T15:45:34;2025-03-20T03:05:00;1
9;MONTH;incidentally gosh;19763.58;17440.55;14507.79;6790.11;6243.1;2025-03-20T00:33:26;2025-03-20T02:24:17;2
10;MONTH;gee wherever during;23494.53;22664.12;520.66;20860.65;19046.62;2025-03-19T23:56:50;2025-03-20T01:12:29;2
