id;amount;transaction_type;description;transaction_date;created_at;updated_at;user_id
1;22430.34;EXPENSE;gadzooks legitimize;2025-03-20T01:42:20;2025-03-19T08:22:21;2025-03-19T10:16:27;1
2;27702.91;INCOME;sanity mortally;2025-03-19T14:01:32;2025-03-19T05:15:28;2025-03-19T06:03:08;2
3;31512.58;EXPENSE;follower cow bludgeon;2025-03-19T05:20:08;2025-03-20T00:20:41;2025-03-19T08:17:15;1
4;25200.28;INCOME;descriptive premeditation huzzah;2025-03-19T15:50:49;2025-03-19T19:22:01;2025-03-19T07:12:44;2
5;3037.15;INCOME;distant fail;2025-03-19T15:56:50;2025-03-20T01:09:03;2025-03-19T11:34:32;2
6;12295.11;EXPENSE;writ federate yearningly;2025-03-19T12:15:43;2025-03-19T17:33:25;2025-03-19T08:58:53;2
7;19402.11;EXPENSE;phooey rise;2025-03-19T09:19:45;2025-03-19T12:30:59;2025-03-19T04:54:52;1
8;4221.6;EXPENSE;finally;2025-03-19T15:59:01;2025-03-19T12:15:29;2025-03-19T06:20:17;1
9;3104.51;INCOME;while warmhearted;2025-03-19T20:25:21;2025-03-19T10:54:18;2025-03-19T21:29:47;2
10;3053.43;INCOME;before;2025-03-19T04:52:52;2025-03-19T23:21:34;2025-03-19T13:52:12;2
